term,code,preferred_term,category
"Procedures, Heart Surgical",D006348,Cardiac Surgical Procedures,treatments
"Surgical Procedure, Heart",D006348,Cardiac Surgical Procedures,treatments
"Surgical Procedures, Heart",D006348,Cardiac Surgical Procedures,treatments
Cardiac Surgical Procedure,D006348,Cardiac Surgical Procedures,treatments
"Procedures, Cardiac Surgical",D006348,Cardiac Surgical Procedures,treatments
"Procedure, Cardiac Surgical",D006348,Cardiac Surgical Procedures,treatments
Heart Valve Diseases,D006349,Heart Valve Diseases,diseases
Heart Valve Disease,D006349,Heart Valve Diseases,diseases
"Valve Disease, Heart",D006349,Heart Valve Diseases,diseases
Valvular Heart Diseases,D006349,Heart Valve Diseases,diseases
"Heart Disease, Valvular",D006349,Heart Valve Diseases,diseases
Valvular Heart Disease,D006349,Heart Valve Diseases,diseases
Heart Valvular Disease,D006349,Heart Valve Diseases,diseases
"Disease, Heart Valvular",D006349,Heart Valve Diseases,diseases
Heart Valvular Diseases,D006349,Heart Valve Diseases,diseases
"Valvular Disease, Heart",D006349,Heart Valve Diseases,diseases
Heart-Assist Devices,D006353,Heart-Assist Devices,treatments
"Device, Heart-Assist",D006353,Heart-Assist Devices,treatments
"Devices, Heart-Assist",D006353,Heart-Assist Devices,treatments
Heart-Assist Device,D006353,Heart-Assist Devices,treatments
Vascular-Assist Device,D006353,Heart-Assist Devices,treatments
"Devices, Vascular-Assist",D006353,Heart-Assist Devices,treatments
"Device, Vascular-Assist",D006353,Heart-Assist Devices,treatments
Vascular Assist Device,D006353,Heart-Assist Devices,treatments
Heart Assist Device,D006353,Heart-Assist Devices,treatments
"Assist Device, Heart",D006353,Heart-Assist Devices,treatments
"Assist Devices, Heart",D006353,Heart-Assist Devices,treatments
"Device, Heart Assist",D006353,Heart-Assist Devices,treatments
"Devices, Heart Assist",D006353,Heart-Assist Devices,treatments
Heart Assist Devices,D006353,Heart-Assist Devices,treatments
"Pumps, Heart-Assist",D006353,Heart-Assist Devices,treatments
Heart-Assist Pump,D006353,Heart-Assist Devices,treatments
Heart-Assist Pumps,D006353,Heart-Assist Devices,treatments
"Pump, Heart-Assist",D006353,Heart-Assist Devices,treatments
"Pumps, Heart Assist",D006353,Heart-Assist Devices,treatments
Vascular-Assist Devices,D006353,Heart-Assist Devices,treatments
Vascular Assist Devices,D006353,Heart-Assist Devices,treatments
Artificial Ventricle,D006353,Heart-Assist Devices,treatments
Artificial Ventricles,D006353,Heart-Assist Devices,treatments
"Ventricle, Artificial",D006353,Heart-Assist Devices,treatments
"Ventricles, Artificial",D006353,Heart-Assist Devices,treatments
"Heart Ventricle, Artificial",D006353,Heart-Assist Devices,treatments
Artificial Heart Ventricle,D006353,Heart-Assist Devices,treatments
Artificial Heart Ventricles,D006353,Heart-Assist Devices,treatments
"Heart Ventricles, Artificial",D006353,Heart-Assist Devices,treatments
"Ventricle, Artificial Heart",D006353,Heart-Assist Devices,treatments
"Ventricles, Artificial Heart",D006353,Heart-Assist Devices,treatments
Ventricle-Assist Device,D006353,Heart-Assist Devices,treatments
"Devices, Ventricle-Assist",D006353,Heart-Assist Devices,treatments
"Device, Ventricle-Assist",D006353,Heart-Assist Devices,treatments
Ventricle Assist Device,D006353,Heart-Assist Devices,treatments
Ventricle-Assist Devices,D006353,Heart-Assist Devices,treatments
Ventricular Assist Device,D006353,Heart-Assist Devices,treatments
"Assist Devices, Ventricular",D006353,Heart-Assist Devices,treatments
"Assist Device, Ventricular",D006353,Heart-Assist Devices,treatments
"Devices, Ventricular Assist",D006353,Heart-Assist Devices,treatments
"Device, Ventricular Assist",D006353,Heart-Assist Devices,treatments
Ventricular Assist Devices,D006353,Heart-Assist Devices,treatments
Heartburn,D006356,Heartburn,diseases
Pyrosis,D006356,Heartburn,diseases
Pyroses,D006356,Heartburn,diseases
Heartwater Disease,D006357,Heartwater Disease,diseases
"Disease, Heartwater",D006357,Heartwater Disease,diseases
Heat Exhaustion,D006359,Heat Exhaustion,diseases
"Exhaustion, Heat",D006359,Heat Exhaustion,diseases
Heat Prostration,D006359,Heat Exhaustion,diseases
"Prostration, Heat",D006359,Heat Exhaustion,diseases
Heat Collapse,D006359,Heat Exhaustion,diseases
"Collapse, Heat",D006359,Heat Exhaustion,diseases
Heat-Shock Proteins,D006360,Heat-Shock Proteins,drugs
Heat Shock Proteins,D006360,Heat-Shock Proteins,drugs
Stress Protein,D006360,Heat-Shock Proteins,drugs
"Protein, Stress",D006360,Heat-Shock Proteins,drugs
Heat-Shock Protein,D006360,Heat-Shock Proteins,drugs
Heat Shock Protein,D006360,Heat-Shock Proteins,drugs
Stress Proteins,D006360,Heat-Shock Proteins,drugs
Heavy Chain Disease,D006362,Heavy Chain Disease,diseases
Heavy Chain Diseases,D006362,Heavy Chain Disease,diseases
gamma-Chain Disease,D006362,Heavy Chain Disease,diseases
gamma Chain Disease,D006362,Heavy Chain Disease,diseases
gamma-Chain Diseases,D006362,Heavy Chain Disease,diseases
Franklin Disease,D006362,Heavy Chain Disease,diseases
Franklin's Disease,D006362,Heavy Chain Disease,diseases
Franklins Disease,D006362,Heavy Chain Disease,diseases
mu-Chain Disease,D006362,Heavy Chain Disease,diseases
mu Chain Disease,D006362,Heavy Chain Disease,diseases
mu-Chain Diseases,D006362,Heavy Chain Disease,diseases
Heliotherapy,D006370,Heliotherapy,treatments
Helium,D006371,Helium,drugs
Helium-4,D006371,Helium,drugs
Helium 4,D006371,Helium,drugs
Helminthiasis,D006373,Helminthiasis,diseases
Helminthiases,D006373,Helminthiasis,diseases
"Infections, Nematomorpha",D006373,Helminthiasis,diseases
"Infection, Nematomorpha",D006373,Helminthiasis,diseases
Nematomorpha Infection,D006373,Helminthiasis,diseases
Nematomorpha Infections,D006373,Helminthiasis,diseases
"Helminthiasis, Animal",D006374,"Helminthiasis, Animal",diseases
Animal Helminthiases,D006374,"Helminthiasis, Animal",diseases
Animal Helminthiasis,D006374,"Helminthiasis, Animal",diseases
"Helminthiases, Animal",D006374,"Helminthiasis, Animal",diseases
Hemadsorption Inhibition Tests,D006383,Hemadsorption Inhibition Tests,exams
Hemadsorption Inhibition Test,D006383,Hemadsorption Inhibition Tests,exams
"Inhibition Test, Hemadsorption",D006383,Hemadsorption Inhibition Tests,exams
"Inhibition Tests, Hemadsorption",D006383,Hemadsorption Inhibition Tests,exams
"Test, Hemadsorption Inhibition",D006383,Hemadsorption Inhibition Tests,exams
"Tests, Hemadsorption Inhibition",D006383,Hemadsorption Inhibition Tests,exams
Hemagglutination Inhibition Tests,D006385,Hemagglutination Inhibition Tests,exams
Hemagglutination Inhibition Test,D006385,Hemagglutination Inhibition Tests,exams
"Inhibition Test, Hemagglutination",D006385,Hemagglutination Inhibition Tests,exams
"Inhibition Tests, Hemagglutination",D006385,Hemagglutination Inhibition Tests,exams
"Test, Hemagglutination Inhibition",D006385,Hemagglutination Inhibition Tests,exams
"Tests, Hemagglutination Inhibition",D006385,Hemagglutination Inhibition Tests,exams
Hemagglutination Tests,D006386,Hemagglutination Tests,exams
Hemagglutination Test,D006386,Hemagglutination Tests,exams
"Test, Hemagglutination",D006386,Hemagglutination Tests,exams
"Tests, Hemagglutination",D006386,Hemagglutination Tests,exams
Hemagglutinins,D006388,Hemagglutinins,drugs
Hemagglutinin,D006388,Hemagglutinins,drugs
Exohemagglutinins,D006388,Hemagglutinins,drugs
Isohemagglutinins,D006388,Hemagglutinins,drugs
"Hemagglutinins, Viral",D006389,"Hemagglutinins, Viral",drugs
Viral Hemagglutinins,D006389,"Hemagglutinins, Viral",drugs
Viral Hemagglutinin,D006389,"Hemagglutinins, Viral",drugs
"Hemagglutinin, Viral",D006389,"Hemagglutinins, Viral",drugs
Hemangioendothelioma,D006390,Hemangioendothelioma,diseases
Hemangioendotheliomas,D006390,Hemangioendothelioma,diseases
"Endothelioma, Vascular",D006390,Hemangioendothelioma,diseases
"Endotheliomas, Vascular",D006390,Hemangioendothelioma,diseases
Vascular Endothelioma,D006390,Hemangioendothelioma,diseases
Vascular Endotheliomas,D006390,Hemangioendothelioma,diseases
Hemangio-Endothelioma,D006390,Hemangioendothelioma,diseases
Hemangio Endothelioma,D006390,Hemangioendothelioma,diseases
Hemangio-Endotheliomas,D006390,Hemangioendothelioma,diseases
Hemangioma,D006391,Hemangioma,diseases
Hemangiomas,D006391,Hemangioma,diseases
"Hemangioma, Histiocytoid",D006391,Hemangioma,diseases
"Hemangiomas, Histiocytoid",D006391,Hemangioma,diseases
Histiocytoid Hemangioma,D006391,Hemangioma,diseases
Histiocytoid Hemangiomas,D006391,Hemangioma,diseases
"Hemangioma, Intramuscular",D006391,Hemangioma,diseases
"Hemangiomas, Intramuscular",D006391,Hemangioma,diseases
Intramuscular Hemangioma,D006391,Hemangioma,diseases
Intramuscular Hemangiomas,D006391,Hemangioma,diseases
Chorioangioma,D006391,Hemangioma,diseases
Chorioangiomas,D006391,Hemangioma,diseases
Chorangioma,D006391,Hemangioma,diseases
Chorangiomas,D006391,Hemangioma,diseases
Angioma,D006391,Hemangioma,diseases
"Hemangioma, Cavernous",D006392,"Hemangioma, Cavernous",diseases
Cavernous Hemangiomas,D006392,"Hemangioma, Cavernous",diseases
"Hemangiomas, Cavernous",D006392,"Hemangioma, Cavernous",diseases
Cavernous Hemangioma,D006392,"Hemangioma, Cavernous",diseases
Strawberry Hemangiomas,D006392,"Hemangioma, Cavernous",diseases
"Hemangiomas, Strawberry",D006392,"Hemangioma, Cavernous",diseases
"Hemangioma, Strawberry",D006392,"Hemangioma, Cavernous",diseases
Strawberry Hemangioma,D006392,"Hemangioma, Cavernous",diseases
"Angioma, Cavernous",D006392,"Hemangioma, Cavernous",diseases
Cavernous Angioma,D006392,"Hemangioma, Cavernous",diseases
Hemangiopericytoma,D006393,Hemangiopericytoma,diseases
Hemangiopericytomas,D006393,Hemangiopericytoma,diseases
Hemangiosarcoma,D006394,Hemangiosarcoma,diseases
Hemangiosarcomas,D006394,Hemangiosarcoma,diseases
Angiosarcoma,D006394,Hemangiosarcoma,diseases
Angiosarcomas,D006394,Hemangiosarcoma,diseases
Hemarthrosis,D006395,Hemarthrosis,diseases
Hemarthroses,D006395,Hemarthrosis,diseases
Hematemesis,D006396,Hematemesis,diseases
Hematemeses,D006396,Hematemesis,diseases
Hematinics,D006397,Hematinics,drugs
Hematinic,D006397,Hematinics,drugs
Hematopoietic Agents,D006397,Hematinics,drugs
Erythropoiesis Stimulating Agents,D006397,Hematinics,drugs
Erythropoiesis Stimulating Agent,D006397,Hematinics,drugs
"Agent, Erythropoiesis Stimulating",D006397,Hematinics,drugs
"Stimulating Agent, Erythropoiesis",D006397,Hematinics,drugs
Hematocele,D006398,Hematocele,diseases
Hematoceles,D006398,Hematocele,diseases
Testicular Hematocele,D006398,Hematocele,diseases
"Hematoceles, Testicular",D006398,Hematocele,diseases
"Hematocele, Testicular",D006398,Hematocele,diseases
Testicular Hematoceles,D006398,Hematocele,diseases
Scrotal Hematocele,D006398,Hematocele,diseases
"Hematocele, Scrotal",D006398,Hematocele,diseases
"Hematoceles, Scrotal",D006398,Hematocele,diseases
Scrotal Hematoceles,D006398,Hematocele,diseases
Hematocolpos,D006399,Hematocolpos,diseases
Hematocrit,D006400,Hematocrit,exams
Hematocrits,D006400,Hematocrit,exams
Packed Red-Cell Volume,D006400,Hematocrit,exams
Packed Red Cell Volume,D006400,Hematocrit,exams
Packed Red-Cell Volumes,D006400,Hematocrit,exams
"Red-Cell Volume, Packed",D006400,Hematocrit,exams
"Red-Cell Volumes, Packed",D006400,Hematocrit,exams
"Volume, Packed Red-Cell",D006400,Hematocrit,exams
"Volumes, Packed Red-Cell",D006400,Hematocrit,exams
"Erythrocyte Volume, Packed",D006400,Hematocrit,exams
"Erythrocyte Volumes, Packed",D006400,Hematocrit,exams
Packed Erythrocyte Volume,D006400,Hematocrit,exams
Packed Erythrocyte Volumes,D006400,Hematocrit,exams
"Volume, Packed Erythrocyte",D006400,Hematocrit,exams
"Volumes, Packed Erythrocyte",D006400,Hematocrit,exams
Hematologic Agents,D006401,Hematologic Agents,drugs
"Agents, Hematologic",D006401,Hematologic Agents,drugs
Hematological Agents,D006401,Hematologic Agents,drugs
"Agents, Hematological",D006401,Hematologic Agents,drugs
Hematologic Diseases,D006402,Hematologic Diseases,diseases
"Disease, Hematologic",D006402,Hematologic Diseases,diseases
"Diseases, Hematologic",D006402,Hematologic Diseases,diseases
Hematologic Disease,D006402,Hematologic Diseases,diseases
Blood Diseases,D006402,Hematologic Diseases,diseases
Blood Disease,D006402,Hematologic Diseases,diseases
"Disease, Blood",D006402,Hematologic Diseases,diseases
"Diseases, Blood",D006402,Hematologic Diseases,diseases
Hematological Diseases,D006402,Hematologic Diseases,diseases
"Disease, Hematological",D006402,Hematologic Diseases,diseases
"Diseases, Hematological",D006402,Hematologic Diseases,diseases
Hematological Disease,D006402,Hematologic Diseases,diseases
Hematologic Tests,D006403,Hematologic Tests,exams
Blood Tests,D006403,Hematologic Tests,exams
Blood Test,D006403,Hematologic Tests,exams
"Test, Blood",D006403,Hematologic Tests,exams
"Tests, Blood",D006403,Hematologic Tests,exams
Hematologic Test,D006403,Hematologic Tests,exams
"Test, Hematologic",D006403,Hematologic Tests,exams
"Tests, Hematologic",D006403,Hematologic Tests,exams
Hematological Tests,D006403,Hematologic Tests,exams
Hematological Test,D006403,Hematologic Tests,exams
"Test, Hematological",D006403,Hematologic Tests,exams
"Tests, Hematological",D006403,Hematologic Tests,exams
Hematoma,D006406,Hematoma,diseases
Hematomas,D006406,Hematoma,diseases
"Hematoma, Epidural, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
Cranial Epidural Hematoma,D006407,"Hematoma, Epidural, Cranial",diseases
Cranial Epidural Hematomas,D006407,"Hematoma, Epidural, Cranial",diseases
"Epidural Hematoma, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
"Epidural Hematomas, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
"Hematoma, Cranial Epidural",D006407,"Hematoma, Epidural, Cranial",diseases
"Hematomas, Cranial Epidural",D006407,"Hematoma, Epidural, Cranial",diseases
"Epidural Hemorrhage, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
Cranial Epidural Hemorrhage,D006407,"Hematoma, Epidural, Cranial",diseases
Cranial Epidural Hemorrhages,D006407,"Hematoma, Epidural, Cranial",diseases
"Epidural Hemorrhages, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
"Hemorrhages, Cranial Epidural",D006407,"Hematoma, Epidural, Cranial",diseases
"Extradural Hemorrhage, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
Cranial Extradural Hemorrhage,D006407,"Hematoma, Epidural, Cranial",diseases
Cranial Extradural Hemorrhages,D006407,"Hematoma, Epidural, Cranial",diseases
"Extradural Hemorrhages, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
"Hemorrhage, Cranial Extradural",D006407,"Hematoma, Epidural, Cranial",diseases
"Hemorrhages, Cranial Extradural",D006407,"Hematoma, Epidural, Cranial",diseases
"Hematoma, Epidural, Intracranial",D006407,"Hematoma, Epidural, Cranial",diseases
"Hemorrhage, Cranial Epidural",D006407,"Hematoma, Epidural, Cranial",diseases
Intracranial Epidural Hematoma,D006407,"Hematoma, Epidural, Cranial",diseases
"Epidural Hematoma, Intracranial",D006407,"Hematoma, Epidural, Cranial",diseases
"Epidural Hematomas, Intracranial",D006407,"Hematoma, Epidural, Cranial",diseases
"Hematoma, Intracranial Epidural",D006407,"Hematoma, Epidural, Cranial",diseases
"Hematomas, Intracranial Epidural",D006407,"Hematoma, Epidural, Cranial",diseases
Intracranial Epidural Hematomas,D006407,"Hematoma, Epidural, Cranial",diseases
"Extradural Hematoma, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
Cranial Extradural Hematoma,D006407,"Hematoma, Epidural, Cranial",diseases
Cranial Extradural Hematomas,D006407,"Hematoma, Epidural, Cranial",diseases
"Extradural Hematomas, Cranial",D006407,"Hematoma, Epidural, Cranial",diseases
"Hematoma, Cranial Extradural",D006407,"Hematoma, Epidural, Cranial",diseases
"Hematomas, Cranial Extradural",D006407,"Hematoma, Epidural, Cranial",diseases
"Hematoma, Subdural",D006408,"Hematoma, Subdural",diseases
"Hematomas, Subdural",D006408,"Hematoma, Subdural",diseases
Subdural Hematomas,D006408,"Hematoma, Subdural",diseases
Subdural Hematoma,D006408,"Hematoma, Subdural",diseases
"Hemorrhage, Subdural",D006408,"Hematoma, Subdural",diseases
"Hemorrhages, Subdural",D006408,"Hematoma, Subdural",diseases
Subdural Hemorrhage,D006408,"Hematoma, Subdural",diseases
Subdural Hemorrhages,D006408,"Hematoma, Subdural",diseases
"Subdural Hematoma, Traumatic",D006408,"Hematoma, Subdural",diseases
"Hematomas, Traumatic Subdural",D006408,"Hematoma, Subdural",diseases
"Hematoma, Traumatic Subdural",D006408,"Hematoma, Subdural",diseases
"Subdural Hematomas, Traumatic",D006408,"Hematoma, Subdural",diseases
Traumatic Subdural Hematoma,D006408,"Hematoma, Subdural",diseases
Traumatic Subdural Hematomas,D006408,"Hematoma, Subdural",diseases
Hematometra,D006409,Hematometra,diseases
Hematometras,D006409,Hematometra,diseases
Hematoporphyrin Photoradiation,D006414,Hematoporphyrin Photoradiation,treatments
"Photoradiation, Hematoporphyrin",D006414,Hematoporphyrin Photoradiation,treatments
Hematoporphyrin Photochemotherapy,D006414,Hematoporphyrin Photoradiation,treatments
"Photochemotherapy, Hematoporphyrin",D006414,Hematoporphyrin Photoradiation,treatments
Hematoporphyrins,D006415,Hematoporphyrins,drugs
Haematoporphyrin IX,D006415,Hematoporphyrins,drugs
Hematoporphyrin,D006415,Hematoporphyrins,drugs
Hemedonin,D006415,Hematoporphyrins,drugs
Hematoxylin,D006416,Hematoxylin,drugs
Hydroxybrasilin,D006416,Hematoxylin,drugs
Hydroxybrazilin,D006416,Hematoxylin,drugs
Hematoxiline,D006416,Hematoxylin,drugs
Hemotoxylin,D006416,Hematoxylin,drugs
Haematoxylon,D006416,Hematoxylin,drugs
Hematuria,D006417,Hematuria,diseases
Hematurias,D006417,Hematuria,diseases
Heme,D006418,Heme,drugs
Ferroprotoporphyrin,D006418,Heme,drugs
Heme b,D006418,Heme,drugs
Protoheme,D006418,Heme,drugs
Protoheme IX,D006418,Heme,drugs
Haem,D006418,Heme,drugs
Heme Oxygenase (Decyclizing),D006419,Heme Oxygenase (Decyclizing),drugs
Heme Oxygenase,D006419,Heme Oxygenase (Decyclizing),drugs
"Oxygenase, Heme",D006419,Heme Oxygenase (Decyclizing),drugs
Haem Oxygenase,D006419,Heme Oxygenase (Decyclizing),drugs
"Oxygenase, Haem",D006419,Heme Oxygenase (Decyclizing),drugs
Hemeproteins,D006420,Hemeproteins,drugs
Hemeprotein,D006420,Hemeproteins,drugs
Heme Protein,D006420,Hemeproteins,drugs
"Protein, Heme",D006420,Hemeproteins,drugs
Heme Proteins,D006420,Hemeproteins,drugs
"Proteins, Heme",D006420,Hemeproteins,drugs
Hemerythrin,D006422,Hemerythrin,drugs
Hemianopsia,D006423,Hemianopsia,diseases
Hemianopsias,D006423,Hemianopsia,diseases
Hemianopia,D006423,Hemianopsia,diseases
Hemianopias,D006423,Hemianopsia,diseases
"Hemianopsia, Homonymous",D006423,Hemianopsia,diseases
"Hemianopsias, Homonymous",D006423,Hemianopsia,diseases
Homonymous Hemianopsia,D006423,Hemianopsia,diseases
Homonymous Hemianopsias,D006423,Hemianopsia,diseases
Homonymous Hemianopia,D006423,Hemianopsia,diseases
"Hemianopia, Homonymous",D006423,Hemianopsia,diseases
"Hemianopias, Homonymous",D006423,Hemianopsia,diseases
Homonymous Hemianopias,D006423,Hemianopsia,diseases
Quadrantanopsia,D006423,Hemianopsia,diseases
Quadrantanopsias,D006423,Hemianopsia,diseases
Quadrantanopia,D006423,Hemianopsia,diseases
Quadrantanopias,D006423,Hemianopsia,diseases
Altidudinal Hemianopia,D006423,Hemianopsia,diseases
Altidudinal Hemianopias,D006423,Hemianopsia,diseases
"Hemianopia, Altidudinal",D006423,Hemianopsia,diseases
"Hemianopias, Altidudinal",D006423,Hemianopsia,diseases
Altitudinal Hemianopsia,D006423,Hemianopsia,diseases
Altitudinal Hemianopsias,D006423,Hemianopsia,diseases
"Hemianopsia, Altitudinal",D006423,Hemianopsia,diseases
"Hemianopsias, Altitudinal",D006423,Hemianopsia,diseases
Binasal Hemianopia,D006423,Hemianopsia,diseases
Binasal Hemianopias,D006423,Hemianopsia,diseases
"Hemianopia, Binasal",D006423,Hemianopsia,diseases
"Hemianopias, Binasal",D006423,Hemianopsia,diseases
"Hemianopsia, Binasal",D006423,Hemianopsia,diseases
Binasal Hemianopsia,D006423,Hemianopsia,diseases
Binasal Hemianopsias,D006423,Hemianopsia,diseases
"Hemianopsias, Binasal",D006423,Hemianopsia,diseases
Bitemporal Hemianopia,D006423,Hemianopsia,diseases
Bitemporal Hemianopias,D006423,Hemianopsia,diseases
"Hemianopia, Bitemporal",D006423,Hemianopsia,diseases
"Hemianopias, Bitemporal",D006423,Hemianopsia,diseases
"Hemianopsia, Bitemporal",D006423,Hemianopsia,diseases
Bitemporal Hemianopsia,D006423,Hemianopsia,diseases
Bitemporal Hemianopsias,D006423,Hemianopsia,diseases
"Hemianopsias, Bitemporal",D006423,Hemianopsia,diseases
Hemic and Lymphatic Diseases,D006425,Hemic and Lymphatic Diseases,diseases
Blood and Lymphatic System Disorders,D006425,Hemic and Lymphatic Diseases,diseases
Hemicholinium 3,D006426,Hemicholinium 3,drugs
Hemicholinium,D006426,Hemicholinium 3,drugs
Hemin,D006427,Hemin,drugs
Chlorohemin,D006427,Hemin,drugs
Ferriheme Chloride,D006427,Hemin,drugs
"Chloride, Ferriheme",D006427,Hemin,drugs
Ferriprotoporphyrin IX Chloride,D006427,Hemin,drugs
"Chloride, Ferriprotoporphyrin IX",D006427,Hemin,drugs
Protohemin,D006427,Hemin,drugs
Protohemin IX,D006427,Hemin,drugs
Ferrihaem,D006427,Hemin,drugs
Ferriprotoporphyrin,D006427,Hemin,drugs
Alkaline Hematin D-575,D006427,Hemin,drugs
Alkaline Hematin D 575,D006427,Hemin,drugs
"Hematin D-575, Alkaline",D006427,Hemin,drugs
Hematin,D006427,Hemin,drugs
Panhematin,D006427,Hemin,drugs
Ferriprotoporphyrin IX,D006427,Hemin,drugs
Hemipelvectomy,D006428,Hemipelvectomy,treatments
Hemipelvectomies,D006428,Hemipelvectomy,treatments
Hemiplegia,D006429,Hemiplegia,diseases
Hemiplegias,D006429,Hemiplegia,diseases
Monoplegia,D006429,Hemiplegia,diseases
Monoplegias,D006429,Hemiplegia,diseases
"Hemiplegia, Crossed",D006429,Hemiplegia,diseases
Crossed Hemiplegia,D006429,Hemiplegia,diseases
Crossed Hemiplegias,D006429,Hemiplegia,diseases
"Hemiplegias, Crossed",D006429,Hemiplegia,diseases
"Hemiplegia, Flaccid",D006429,Hemiplegia,diseases
Flaccid Hemiplegia,D006429,Hemiplegia,diseases
Flaccid Hemiplegias,D006429,Hemiplegia,diseases
"Hemiplegias, Flaccid",D006429,Hemiplegia,diseases
"Hemiplegia, Infantile",D006429,Hemiplegia,diseases
"Hemiplegias, Infantile",D006429,Hemiplegia,diseases
Infantile Hemiplegia,D006429,Hemiplegia,diseases
Infantile Hemiplegias,D006429,Hemiplegia,diseases
"Hemiplegia, Post-Ictal",D006429,Hemiplegia,diseases
"Hemiplegia, Post Ictal",D006429,Hemiplegia,diseases
"Hemiplegias, Post-Ictal",D006429,Hemiplegia,diseases
Post-Ictal Hemiplegia,D006429,Hemiplegia,diseases
Post-Ictal Hemiplegias,D006429,Hemiplegia,diseases
"Hemiplegia, Spastic",D006429,Hemiplegia,diseases
"Hemiplegias, Spastic",D006429,Hemiplegia,diseases
Spastic Hemiplegia,D006429,Hemiplegia,diseases
Spastic Hemiplegias,D006429,Hemiplegia,diseases
"Hemiplegia, Transient",D006429,Hemiplegia,diseases
"Hemiplegias, Transient",D006429,Hemiplegia,diseases
Transient Hemiplegia,D006429,Hemiplegia,diseases
Transient Hemiplegias,D006429,Hemiplegia,diseases
Hemobilia,D006431,Hemobilia,diseases
Hemobilias,D006431,Hemobilia,diseases
Biliary Tract Hemorrhage,D006431,Hemobilia,diseases
Biliary Tract Hemorrhages,D006431,Hemobilia,diseases
"Hemorrhage, Biliary Tract",D006431,Hemobilia,diseases
Hemochromatosis,D006432,Hemochromatosis,diseases
Von Recklenhausen-Applebaum Disease,D006432,Hemochromatosis,diseases
"Diseases, Von Recklenhausen-Applebaum",D006432,Hemochromatosis,diseases
"Disease, Von Recklenhausen-Applebaum",D006432,Hemochromatosis,diseases
"Recklenhausen-Applebaum Diseases, Von",D006432,Hemochromatosis,diseases
"Recklenhausen-Applebaum Disease, Von",D006432,Hemochromatosis,diseases
Von Recklenhausen Applebaum Disease,D006432,Hemochromatosis,diseases
Von Recklenhausen-Applebaum Diseases,D006432,Hemochromatosis,diseases
Bronze Diabetes,D006432,Hemochromatosis,diseases
Bronzed Cirrhosis,D006432,Hemochromatosis,diseases
Bronzed Cirrhoses,D006432,Hemochromatosis,diseases
"Cirrhoses, Bronzed",D006432,Hemochromatosis,diseases
"Cirrhosis, Bronzed",D006432,Hemochromatosis,diseases
"Diabetes, Bronze",D006432,Hemochromatosis,diseases
Haemochromatosis,D006432,Hemochromatosis,diseases
Haemochromatoses,D006432,Hemochromatosis,diseases
Hemochromatoses,D006432,Hemochromatosis,diseases
Hemochromatose,D006432,Hemochromatosis,diseases
Iron Storage Disorder,D006432,Hemochromatosis,diseases
"Disorder, Iron Storage",D006432,Hemochromatosis,diseases
"Disorders, Iron Storage",D006432,Hemochromatosis,diseases
Iron Storage Disorders,D006432,Hemochromatosis,diseases
"Storage Disorder, Iron",D006432,Hemochromatosis,diseases
"Storage Disorders, Iron",D006432,Hemochromatosis,diseases
Troisier-Hanot-Chauffard Syndrome,D006432,Hemochromatosis,diseases
"Syndromes, Troisier-Hanot-Chauffard",D006432,Hemochromatosis,diseases
"Syndrome, Troisier-Hanot-Chauffard",D006432,Hemochromatosis,diseases
Troisier Hanot Chauffard Syndrome,D006432,Hemochromatosis,diseases
Troisier-Hanot-Chauffard Syndromes,D006432,Hemochromatosis,diseases
Pigmentary Cirrhosis,D006432,Hemochromatosis,diseases
"Cirrhoses, Pigmentary",D006432,Hemochromatosis,diseases
"Cirrhosis, Pigmentary",D006432,Hemochromatosis,diseases
Pigmentary Cirrhoses,D006432,Hemochromatosis,diseases
Familial Hemochromatosis,D006432,Hemochromatosis,diseases
Familial Hemochromatoses,D006432,Hemochromatosis,diseases
"Hemochromatoses, Familial",D006432,Hemochromatosis,diseases
"Hemochromatosis, Familial",D006432,Hemochromatosis,diseases
Genetic Hemochromatosis,D006432,Hemochromatosis,diseases
Genetic Hemochromatoses,D006432,Hemochromatosis,diseases
"Hemochromatoses, Genetic",D006432,Hemochromatosis,diseases
"Hemochromatosis, Genetic",D006432,Hemochromatosis,diseases
Primary Hemochromatosis,D006432,Hemochromatosis,diseases
Hemocyanins,D006433,Hemocyanins,drugs
Hemocyanin,D006433,Hemocyanins,drugs
alpha-Hemocyanins,D006433,Hemocyanins,drugs
alpha Hemocyanins,D006433,Hemocyanins,drugs
alpha-Hemocyanin,D006433,Hemocyanins,drugs
alpha Hemocyanin,D006433,Hemocyanins,drugs
alpha-Haemocyanin,D006433,Hemocyanins,drugs
alpha Haemocyanin,D006433,Hemocyanins,drugs
Renal Dialysis,D006435,Renal Dialysis,treatments
"Dialyses, Renal",D006435,Renal Dialysis,treatments
Renal Dialyses,D006435,Renal Dialysis,treatments
"Dialysis, Renal",D006435,Renal Dialysis,treatments
Hemodialysis,D006435,Renal Dialysis,treatments
